Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C17, C2, C3, C4, C5, C6, C7, C8",0402,11,0.1uF,
"C10, C9",0402,2,1uF,
"C13, C14",0603,2,10uF,
"C15, C16",0402,2,33pF,
D1,0805,1,LED,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
J2,PinHeader_1x20_P2.54mm_Vertical,1,LEFT_CONN,
J3,PinHeader_1x20_P2.54mm_Vertical,1,RIGHT_CONN,
J5,PinHeader_1x03_P2.54mm_Vertical,1,DEBUG_CONN,
"R1, R2",0402,2,5.1K,
"R3, R4",0402,2,27,
"R5, R7",0402,2,1K,
"R6, R8",0402,2,10K,
R9,0201,1,220,
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-23,1,MCP1700x-330xxTT,
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24_WITH_4_PIN,
